,Year,Month,Day,Hour,Minute,Label,Group Label
0,1852,8,1,0,0,Minuit,Nuit
1,1852,8,1,0,10,,Nuit
2,1852,8,1,0,20,,Nuit
3,1852,8,1,0,30,,Nuit
4,1852,8,1,0,40,,Nuit
5,1852,8,1,0,50,,Nuit
6,1852,8,1,1,0,1,Nuit
7,1852,8,1,1,10,,Nuit
8,1852,8,1,1,20,,Nuit
9,1852,8,1,1,30,,Nuit
10,1852,8,1,1,40,,Nuit
11,1852,8,1,1,50,,Nuit
12,1852,8,1,2,0,2,Nuit
13,1852,8,1,2,10,,Nuit
14,1852,8,1,2,20,,Nuit
15,1852,8,1,2,30,,Nuit
16,1852,8,1,2,40,,Nuit
17,1852,8,1,2,50,,Nuit
18,1852,8,1,3,0,3,Nuit
19,1852,8,1,3,10,,Nuit
20,1852,8,1,3,20,,Nuit
21,1852,8,1,3,30,,Nuit
22,1852,8,1,3,40,,Nuit
23,1852,8,1,3,50,,Nuit
24,1852,8,1,4,0,4,Nuit
25,1852,8,1,4,10,,Nuit
26,1852,8,1,4,20,,Nuit
27,1852,8,1,4,30,,Nuit
28,1852,8,1,4,40,,Nuit
29,1852,8,1,4,50,,Nuit
30,1852,8,1,5,0,5,Nuit
31,1852,8,1,5,10,,Nuit
32,1852,8,1,5,20,,Nuit
33,1852,8,1,5,30,,Nuit
34,1852,8,1,5,40,,Nuit
35,1852,8,1,5,50,,Nuit
36,1852,8,1,6,0,6,Jour
37,1852,8,1,6,10,,Jour
38,1852,8,1,6,20,,Jour
39,1852,8,1,6,30,,Jour
40,1852,8,1,6,40,,Jour
41,1852,8,1,6,50,,Jour
42,1852,8,1,7,0,7,Jour
43,1852,8,1,7,10,,Jour
44,1852,8,1,7,20,,Jour
45,1852,8,1,7,30,,Jour
46,1852,8,1,7,40,,Jour
47,1852,8,1,7,50,,Jour
48,1852,8,1,8,0,8,Jour
49,1852,8,1,8,10,,Jour
50,1852,8,1,8,20,,Jour
51,1852,8,1,8,30,,Jour
52,1852,8,1,8,40,,Jour
53,1852,8,1,8,50,,Jour
54,1852,8,1,9,0,9,Jour
55,1852,8,1,9,10,,Jour
56,1852,8,1,9,20,,Jour
57,1852,8,1,9,30,,Jour
58,1852,8,1,9,40,,Jour
59,1852,8,1,9,50,,Jour
60,1852,8,1,10,0,10,Jour
61,1852,8,1,10,10,,Jour
62,1852,8,1,10,20,,Jour
63,1852,8,1,10,30,,Jour
64,1852,8,1,10,40,,Jour
65,1852,8,1,10,50,,Jour
66,1852,8,1,11,0,11,Jour
67,1852,8,1,11,10,,Jour
68,1852,8,1,11,20,,Jour
69,1852,8,1,11,30,,Jour
70,1852,8,1,11,40,,Jour
71,1852,8,1,11,50,,Jour
72,1852,8,1,12,0,Midi,Jour
73,1852,8,1,12,10,,Jour
74,1852,8,1,12,20,,Jour
75,1852,8,1,12,30,,Jour
76,1852,8,1,12,40,,Jour
77,1852,8,1,12,50,,Jour
78,1852,8,1,13,0,1,Jour
79,1852,8,1,13,10,,Jour
80,1852,8,1,13,20,,Jour
81,1852,8,1,13,30,,Jour
82,1852,8,1,13,40,,Jour
83,1852,8,1,13,50,,Jour
84,1852,8,1,14,0,2,Jour
85,1852,8,1,14,10,,Jour
86,1852,8,1,14,20,,Jour
87,1852,8,1,14,30,,Jour
88,1852,8,1,14,40,,Jour
89,1852,8,1,14,50,,Jour
90,1852,8,1,15,0,3,Jour
91,1852,8,1,15,10,,Jour
92,1852,8,1,15,20,,Jour
93,1852,8,1,15,30,,Jour
94,1852,8,1,15,40,,Jour
95,1852,8,1,15,50,,Jour
96,1852,8,1,16,0,4,Jour
97,1852,8,1,16,10,,Jour
98,1852,8,1,16,20,,Jour
99,1852,8,1,16,30,,Jour
100,1852,8,1,16,40,,Jour
101,1852,8,1,16,50,,Jour
102,1852,8,1,17,0,5,Jour
103,1852,8,1,17,10,,Jour
104,1852,8,1,17,20,,Jour
105,1852,8,1,17,30,,Jour
106,1852,8,1,17,40,,Jour
107,1852,8,1,17,50,,Jour
108,1852,8,1,18,0,6,Jour
109,1852,8,1,18,10,,Nuit
110,1852,8,1,18,20,,Nuit
111,1852,8,1,18,30,,Nuit
112,1852,8,1,18,40,,Nuit
113,1852,8,1,18,50,,Nuit
114,1852,8,1,19,0,7,Nuit
115,1852,8,1,19,10,,Nuit
116,1852,8,1,19,20,,Nuit
117,1852,8,1,19,30,,Nuit
118,1852,8,1,19,40,,Nuit
119,1852,8,1,19,50,,Nuit
120,1852,8,1,20,0,8,Nuit
121,1852,8,1,20,10,,Nuit
122,1852,8,1,20,20,,Nuit
123,1852,8,1,20,30,,Nuit
124,1852,8,1,20,40,,Nuit
125,1852,8,1,20,50,,Nuit
126,1852,8,1,21,0,9,Nuit
127,1852,8,1,21,10,,Nuit
128,1852,8,1,21,20,,Nuit
129,1852,8,1,21,30,,Nuit
130,1852,8,1,21,40,,Nuit
131,1852,8,1,21,50,,Nuit
132,1852,8,1,22,0,10,Nuit
133,1852,8,1,22,10,,Nuit
134,1852,8,1,22,20,,Nuit
135,1852,8,1,22,30,,Nuit
136,1852,8,1,22,40,,Nuit
137,1852,8,1,22,50,,Nuit
138,1852,8,1,23,0,11,Nuit
139,1852,8,1,23,10,,Nuit
140,1852,8,1,23,20,,Nuit
141,1852,8,1,23,30,,Nuit
142,1852,8,1,23,40,,Nuit
143,1852,8,1,23,50,,Nuit
144,1852,8,2,0,0,Minuit,Nuit
