,Train Number,Start City,Start Time,End City,End Time,Line Style
0,1,Paris,23:00:00,Enghien,23:22:00,solid
1,1,Enghien,23:22:00,Pontoise,23:55:00,solid
2,1,Pontoise,00:00:00,Beaumont,00:28:00,solid
3,1,Beaumont,00:30:00,Creil,01:08:00,solid
4,1,Creil,01:15:00,Clermont,01:40:00,solid
5,1,Clermont,01:42:00,St Just,02:12:00,solid
6,1,St Just,02:12:00,Breteuil,02:45:00,solid
7,1,Breteuil,02:45:00,Ailly s.N.,03:09:00,solid
8,1,Ailly s.N.,03:09:00,Amiens,03:40:00,solid
9,1,Amiens,04:00:00,Abbeville,05:05:00,solid
10,1,Abbeville,05:15:00,Montreuil,06:15:00,solid
11,1,Montreuil,06:25:00,Boulogne,07:40:00,solid
12,133 fac,Paris,23:15:00,Enghien,23:41:00,dashed
13,133 fac,Enghien,23:41:00,Pontoise,1900-01-01 00:30:00,dashed
14,133 fac,Pontoise,00:37:00,Beaumont,01:28:00,dashed
15,133 fac,Beaumont,01:30:00,Creil,02:30:00,dashed
16,133 fac,Creil,02:50:00,Clermont,03:37:00,dashed
17,133 fac,Clermont,03:40:00,St Just,04:22:00,dashed
18,133 fac,St Just,04:22:00,Breteuil,05:12:00,dashed
19,133 fac,Breteuil,05:22:00,Ailly s.N.,06:10:00,dashed
20,133 fac,Ailly s.N.,06:12:00,Amiens,07:05:00,dashed
21,25,Amiens,07:00:00,Abbeville,08:50:00,dashed
22,25 facultatif marchand.,Abbeville,09:00:00,Montreuil,10:16:00,dashed
23,25 facultatif marchand.,Montreuil,10:22:00,Boulogne,11:45:00,dashed
24,107,Paris,21:00:00,Enghien,21:30:00,dashed
25,107,Enghien,21:30:00,Pontoise,22:12:00,dashed
26,107,Pontoise,22:21:00,Beaumont,23:06:00,dashed
27,107,Beaumont,23:10:00,Creil,1900-01-01 00:10:00,dashed
28,107,Creil,01:30:00,Clermont,02:25:00,dashed
29,107,Clermont,02:30:00,St Just,03:25:00,dashed
30,107,St Just,03:30:00,Breteuil,04:25:00,dashed
31,107,Breteuil,04:35:00,Ailly s.N.,05:28:00,dashed
32,107,Ailly s.N.,05:31:00,Amiens,06:38:00,dashed
33,159 fac,Amiens,08:00:00,Abbeville,09:29:00,dashed
34,159 fac,Abbeville,10:00:00,Montreuil,10:54:00,dashed
35,159 fac,Montreuil,11:00:00,Boulogne,12:00:00,dashed
36,109,Paris,00:30:00,Enghien,01:00:00,dashed
37,109,Enghien,01:00:00,Pontoise,01:47:00,dashed
38,109,Pontoise,01:50:00,Beaumont,02:35:00,dashed
39,109,Beaumont,02:40:00,Creil,03:38:00,dashed
40,109,Creil,04:00:00,Clermont,04:40:00,dashed
41,109,Clermont,04:51:00,St Just,05:30:00,dashed
42,109,St Just,05:32:00,Breteuil,06:12:00,dashed
43,109,Breteuil,06:15:00,Ailly s.N.,07:06:00,dashed
44,109,Ailly s.N.,07:12:00,Amiens,08:09:00,dashed
45,117 fac,Paris,02:12:00,Enghien,02:45:00,dashed
46,117 fac,Enghien,02:45:00,Pontoise,03:30:00,dashed
47,117 fac,Pontoise,03:37:00,Beaumont,04:25:00,dashed
48,117 fac,Beaumont,04:31:00,Creil,05:30:00,dashed
49,117 fac,Creil,05:50:00,Clermont,06:35:00,dashed
50,117 fac,Clermont,06:40:00,St Just,07:20:00,dashed
51,117 fac,St Just,07:25:00,Breteuil,08:15:00,dashed
52,117 fac,Breteuil,08:20:00,Ailly s.N.,09:00:00,dashed
53,117 fac,Ailly s.N.,09:00:00,Amiens,09:47:00,dashed
54,121 fac,Paris,03:15:00,Enghien,03:41:00,dashed
55,121 fac,Enghien,03:41:00,Pontoise,04:30:00,dashed
56,121 fac,Pontoise,04:35:00,Beaumont,05:25:00,dashed
